"name","country","position","date_of_birth","age","caps","goals_conceded","senior_debut_date","senior_debut_match","senior_debut_match_location","last_appearance_date","last_appearance_match","last_appearance_location","club","league","height","weight","id","team_id","detailed_position","goals"
"Jonathan Tah","Germany","Defender",1996-02-11,20,1,NA,NA,NA,NA,2016-03-26,"Germany 2-3 England","Berlin","Leverkusen","GER",NA,NA,"250055660","47","Central defender",0
"Jérôme Boateng","Germany","Defender",1988-09-03,27,61,NA,2009-10-10,"Russia 0-1 Germany","Moscow",2016-06-16,"Germany 0-0 Poland","Saint-Denis","Bayern","GER",192,90,"98865","47","Central defender",0
"Joshua Kimmich","Germany","Defender",1995-02-08,21,1,NA,2016-05-29,"Germany 1-3 Slovakia","Augsburg",2016-05-29,"Germany 1-3 Slovakia","Augsburg","Bayern","GER",176,70,"250070417","47","Central defender",0
"Sami Khedira","Germany","Midfield",1987-04-04,29,62,NA,2009-09-05,"Germany 2-0 South Africa",NA,2016-06-16,"Germany 0-0 Poland","Saint-Denis","Juventus","ITA",189,90,"74327","47","Defensive midfielder",5
"Bastian Schweinsteiger","Germany","Midfield",1984-08-01,31,116,NA,2004-06-06,"Germany 0-2 Hungary","Kaiserslautern",2016-06-12,"Germany 2-0 Ukraine","Lille Métropole","Man. United","ENG",183,79,"67496","47","Central midfielder",24
"Mesut Özil","Germany","Midfield",1988-10-15,27,75,NA,2009-02-11,"Germany 0-1 Norway","Dusseldorf",2016-06-16,"Germany 0-0 Poland","Saint-Denis","Arsenal","ENG",180,76,"103697","47","Attacking midfielder",19
"André Schürrle","Germany","Midfield",1990-11-06,25,54,NA,2010-11-17,"Sweden 0-0 Germany","Gothenburg",2016-06-16,"Germany 0-0 Poland","Saint-Denis","Wolfsburg","GER",184,74,"250005337","47","Winger",20
"Julian Draxler","Germany","Midfield",1993-09-20,22,21,NA,2012-05-26,"Switzerland 5-3 Germany",NA,2016-06-16,"Germany 0-0 Poland","Saint-Denis","Wolfsburg","GER",187,72,"250026763","47","Attacking midfielder",1
"Emre Can","Germany","Midfield",1994-01-12,22,6,NA,2015-09-04,"Germany 3-1 Poland","Frankfurt am Main",2016-06-04,"Germany 2-0 Hungary","Gelsenkirchen","Liverpool","ENG",184,82,"250017824","47","Full-back",0
"Julian Weigl","Germany","Midfield",1995-09-08,20,1,NA,2016-05-29,"Germany 1-3 Slovakia","Augsburg",2016-05-29,"Germany 1-3 Slovakia","Augsburg","Dortmund","GER",186,71,"250070415","47","Defensive midfielder",0
"Toni Kroos","Germany","Midfield",1990-01-04,26,67,NA,2010-03-03,"Germany 0-1 Argentina",NA,2016-06-16,"Germany 0-0 Poland","Saint-Denis","Real Madrid","ESP",182,78,"103147","47","Central midfielder",11
"Mario Götze","Germany","Midfield",1992-06-03,24,54,NA,2010-11-17,"Sweden 0-0 Germany","Gothenburg",2016-06-16,"Germany 0-0 Poland","Saint-Denis","Bayern","GER",176,64,"250007605","47","Forward",17
"Leroy Sané","Germany","Midfield",1996-01-11,20,3,NA,2015-11-13,"France 2-0 Germany","Saint-Denis",2016-06-04,"Germany 2-0 Hungary","Gelsenkirchen","Schalke","GER",183,75,"250063984","47","Winger",0
"Lukas Podolski","Germany","Forward",1985-06-04,31,128,NA,2004-06-06,"Germany 0-2 Hungary","Kaiserslautern",2016-06-04,"Germany 2-0 Hungary","Gelsenkirchen","Galatasaray","TUR",182,83,"62594","47","Forward",48
"Thomas Müller","Germany","Forward",1989-09-13,26,73,NA,2010-03-03,"Germany 0-1 Argentina",NA,2016-06-16,"Germany 0-0 Poland","Saint-Denis","Bayern","GER",186,74,"250003318","47","Winger",32
"Mario Gomez","Germany","Forward",1985-07-10,30,65,NA,2007-02-07,"Germany 3-1 Switzerland","Dusseldorf",2016-06-16,"Germany 0-0 Poland","Saint-Denis","Beşiktaş","TUR",189,93,"62588","47","Forward",27
"Wojciech Szczęsny","Poland","Goalkeeper",1990-04-18,26,27,19,2009-11-18,"Poland 1-0 Canada","Bydgoszcz",2016-06-12,"Poland 1-0 Northern Ireland","Nice","Roma","ITA",196,84,"108501","109","Goalkeeper",NA
"Artur Boruc","Poland","Goalkeeper",1980-02-20,36,63,57,2004-04-28,"Poland 0-0 Republic of Ireland","Bydgoszcz",2016-06-06,"Poland 0-0 Lithuania","Krakow","Bournemouth","ENG",193,88,"46853","109","Goalkeeper",NA
"Łukasz Fabiański","Poland","Goalkeeper",1985-04-18,31,31,21,2006-03-28,"Saudi Arabia 1-2 Poland",NA,2016-06-16,"Germany 0-0 Poland","Saint-Denis","Swansea","ENG",190,83,"62333","109","Goalkeeper",NA
"Michał Pazdan","Poland","Defender",1987-09-21,28,17,NA,2008-02-27,"Poland 2-0 Estonia","Wronki",2016-06-16,"Germany 0-0 Poland","Saint-Denis","Legia","POL",181,78,"250000026","109","Central defender",0
"Artur Jędrzejczyk","Poland","Defender",1987-11-04,28,20,NA,2010-10-12,"Ecuador 2-2 Poland","Montreal",2016-06-16,"Germany 0-0 Poland","Saint-Denis","Legia","POL",189,78,"105666","109","Full-back",3
"Thiago Cionek","Poland","Defender",1986-04-21,30,6,NA,2014-05-13,"Germany 0-0 Poland","Hamburg",2016-06-06,"Poland 0-0 Lithuania","Krakow","Palermo","ITA",184,80,"250031551","109","Central defender",0
"Jakub Wawrzyniak","Poland","Defender",1983-07-07,32,46,NA,2006-12-06,"United Arab Emirates 2-5 Poland",NA,2016-06-06,"Poland 0-0 Lithuania","Krakow","Lechia","POL",188,85,"1902722","109","Full-back",1
"Kamil Glik","Poland","Defender",1988-02-03,28,43,NA,2010-01-20,"Thailand 1-3 Poland",NA,2016-06-16,"Germany 0-0 Poland","Saint-Denis","Torino","ITA",190,80,"1902388","109","Central defender",3
"Bartosz Salamon","Poland","Defender",1991-05-01,25,8,NA,2013-03-26,"Poland 5-0 San Marino","Warsaw",2016-06-06,"Poland 0-0 Lithuania","Krakow","Cagliari","ITA",196,89,"250013152","109","Central defender",0
"Łukasz Piszczek","Poland","Defender",1985-06-03,31,48,NA,2007-02-03,"Poland 4-0 Estonia",NA,2016-06-16,"Germany 0-0 Poland","Saint-Denis","Dortmund","GER",184,79,"74029","109","Full-back",2
"Krzysztof Mączyński","Poland","Midfield",1987-05-23,29,18,NA,2013-11-15,"Poland 0-2 Slovakia","Wroclaw",2016-06-16,"Germany 0-0 Poland","Saint-Denis","Wisła","POL",175,66,"250002269","109","Central midfielder",1
"Tomasz Jodłowiec","Poland","Midfield",1985-09-08,30,45,NA,2008-10-11,"Poland 2-1 Czech Republic","Chorzow",2016-06-16,"Germany 0-0 Poland","Saint-Denis","Legia","POL",189,91,"1903950","109","Defensive midfielder",1
"Karol Linetty","Poland","Midfield",1995-02-02,21,10,NA,2014-01-18,"Poland 3-0 Norway",NA,2016-06-01,"Poland 1-2 Netherlands","Gdansk","Lech","POL",176,74,"250042409","109","Central midfielder",1
"Grzegorz Krychowiak","Poland","Midfield",1990-01-29,26,36,NA,2008-12-14,"Serbia 0-1 Poland","Antalya",2016-06-16,"Germany 0-0 Poland","Saint-Denis","Sevilla","ESP",186,83,"102092","109","Defensive midfielder",2
"Kamil Grosicki","Poland","Midfield",1988-06-08,28,40,NA,2008-02-27,"Poland 2-0 Estonia","Wronki",2016-06-16,"Germany 0-0 Poland","Saint-Denis","Rennes","FRA",180,78,"108235","109","Winger",8
"Jakub Błaszczykowski","Poland","Midfield",1985-12-14,30,81,NA,2006-03-28,"Saudi Arabia 1-2 Poland",NA,2016-06-16,"Germany 0-0 Poland","Saint-Denis","Fiorentina","ITA",176,77,"93621","109","Winger",16
"Sławomir Peszko","Poland","Midfield",1985-02-19,31,39,NA,2008-11-19,"Republic of Ireland 2-3 Poland","Dublin",2016-06-16,"Germany 0-0 Poland","Saint-Denis","Lechia","POL",173,70,"64166","109","Winger",2
"Piotr Zieliński","Poland","Midfield",1994-05-20,22,15,NA,2013-06-04,"Poland 2-0 Liechtenstein",NA,2016-06-06,"Poland 0-0 Lithuania","Krakow","Empoli","ITA",177,64,"250024370","109","Attacking midfielder",3
"Bartosz Kapustka","Poland","Midfield",1996-12-23,19,9,NA,2015-09-07,"Poland 8-1 Gibraltar","Warsaw",2016-06-16,"Germany 0-0 Poland","Saint-Denis","()",NA,179,60,"250078703","109","Winger",2
"Filip Starzyński","Poland","Midfield",1991-05-27,25,3,NA,2014-09-07,"Gibraltar 0-7 Poland","Faro-Loule",2016-06-06,"Poland 0-0 Lithuania","Krakow","Zagłębie","POL",184,72,"250051033","109","Attacking midfielder",1
"Arkadiusz Milik","Poland","Forward",1994-02-28,22,28,NA,2012-10-12,"Poland 1-0 South Africa","Warsaw",2016-06-16,"Germany 0-0 Poland","Saint-Denis","Ajax","NED",186,78,"250043124","109","Forward",11
"Robert Lewandowski","Poland","Forward",1988-08-21,27,78,NA,2008-09-10,"San Marino 0-2 Poland","Serravalle",2016-06-16,"Germany 0-0 Poland","Saint-Denis","Bayern","GER",184,78,"250002096","109","Forward",34
"Mariusz Stępiński","Poland","Forward",1995-05-12,21,2,NA,2015-11-13,"Poland 4-2 Iceland",NA,2016-06-01,"Poland 1-2 Netherlands","Gdansk","Ruch","POL",183,73,"250042413","109","Forward",0
"Michael McGovern","Northern Ireland","Goalkeeper",1984-07-12,31,13,8,2010-05-30,"Chile 1-0 Northern Ireland",NA,2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Hamilton","SCO",191,89,"69073","63","Goalkeeper",NA
"Roy Carroll","Northern Ireland","Goalkeeper",1977-09-30,38,44,40,1997-05-21,"Thailand 0-0 Northern Ireland",NA,2016-05-27,"Northern Ireland 3-0 Belarus","Belfast","Notts County","ENG",188,80,"30243","63","Goalkeeper",NA
"Alan Mannus","Northern Ireland","Goalkeeper",1982-05-19,34,8,1,2004-06-06,"Trinidad and Tobago 0-3 Northern Ireland","Bacolet",2016-05-27,"Northern Ireland 3-0 Belarus","Belfast","St Johnstone","SCO",188,84,"47695","63","Goalkeeper",NA
"Conor McLaughlin","Northern Ireland","Defender",1991-07-26,24,19,NA,2011-10-11,"Italy 3-0 Northern Ireland","Pescara",2016-06-12,"Poland 1-0 Northern Ireland","Nice","Fleetwood","ENG",183,71,"1908055","63","Full-back",0
"Gareth McAuley","Northern Ireland","Defender",1979-12-05,36,63,NA,2005-06-04,"Northern Ireland 1-4 Germany","Belfast",2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","West Brom","ENG",195,90,"65248","63","Central defender",8
"Jonny Evans","Northern Ireland","Defender",1988-01-03,28,51,NA,2006-09-06,"Northern Ireland 3-2 Spain","Belfast",2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","West Brom","ENG",188,77,"98171","63","Central defender",1
"Chris Baird","Northern Ireland","Defender",1982-02-25,34,79,NA,2003-06-03,"Italy 2-0 Northern Ireland","Campobasso",2016-06-12,"Poland 1-0 Northern Ireland","Nice","Fulham","ENG",181,74,"52045","63","Full-back",0
"Luke McCullough","Northern Ireland","Defender",1994-02-15,22,5,NA,2014-05-31,"Uruguay 1-0 Northern Ireland","Montevideo",2015-10-08,"Northern Ireland 3-1 Greece","Belfast","Doncaster","ENG",185,81,"250013365","63","Central defender",0
"Paddy McNair","Northern Ireland","Defender",1995-04-27,21,11,NA,2015-03-25,"Scotland 1-0 Northern Ireland",NA,2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Man. United","ENG",183,72,"250042799","63","Defensive midfielder",0
"Aaron Hughes","Northern Ireland","Defender",1979-11-08,36,101,NA,1998-03-25,"Northern Ireland 1-0 Slovakia","Belfast",2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Melbourne City","AUS",183,78,"30680","63","Central defender",1
"Craig Cathcart","Northern Ireland","Defender",1989-02-06,27,30,NA,2010-09-03,"Slovenia 0-1 Northern Ireland","Maribor",2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Watford","ENG",188,73,"98918","63","Central defender",2
"Lee Hodson","Northern Ireland","Defender",1991-10-02,24,16,NA,2010-11-17,"Northern Ireland 1-1 Morocco",NA,2016-06-04,"Slovakia 0-0 Northern Ireland","Trnava","MK Dons","ENG",174,71,"250005490","63","Full-back",0
"Shane Ferguson","Northern Ireland","Midfield",1991-07-12,24,26,NA,2009-06-06,"Italy 3-0 Northern Ireland",NA,2016-06-12,"Poland 1-0 Northern Ireland","Nice","Millwall","ENG",176,65,"1908076","63","Winger",1
"Steven Davis","Northern Ireland","Midfield",1985-01-01,31,85,NA,2005-02-09,"Northern Ireland 0-1 Canada","Belfast",2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Southampton","ENG",172,72,"62176","63","Central midfielder",8
"Corry Evans","Northern Ireland","Midfield",1990-07-30,25,35,NA,2009-06-06,"Italy 3-0 Northern Ireland",NA,2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Blackburn","ENG",173,70,"1901633","63","Central midfielder",1
"Stuart Dallas","Northern Ireland","Midfield",1991-04-19,25,15,NA,2011-05-27,"Wales 2-0 Northern Ireland",NA,2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Leeds","ENG",186,81,"1908072","63","Winger",1
"Oliver Norwood","Northern Ireland","Midfield",1991-04-12,25,36,NA,2010-08-11,"Montenegro 2-0 Northern Ireland","Podgorica",2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Reading","ENG",180,76,"1907885","63","Central midfielder",0
"Jamie Ward","Northern Ireland","Midfield",1986-05-12,30,24,NA,2011-08-10,"Northern Ireland 4-0 Faroe Islands","Belfast",2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Nottm Forest","ENG",165,68,"98655","63","Forward",2
"Josh Magennis","Northern Ireland","Midfield",1990-08-15,25,20,NA,2010-05-26,"Turkey 2-0 Northern Ireland","New Britain",2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Kilmarnock","SCO",188,92,"1901158","63","Forward",1
"Niall McGinn","Northern Ireland","Forward",1987-07-20,28,43,NA,2008-11-19,"Northern Ireland 0-2 Hungary","Belfast",2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Aberdeen","SCO",183,70,"104747","63","Winger",3
"Will Grigg","Northern Ireland","Forward",1991-07-03,24,8,NA,2012-06-02,"Netherlands 6-0 Northern Ireland",NA,2016-05-27,"Northern Ireland 3-0 Belarus","Belfast","Wigan","ENG",180,70,"250013373","63","Forward",1
"Kyle Lafferty","Northern Ireland","Forward",1987-09-16,28,52,NA,2006-05-21,"Uruguay 1-0 Northern Ireland","New Jersey",2016-06-12,"Poland 1-0 Northern Ireland","Nice","Birmingham","ENG",193,88,"92995","63","Forward",17
"Conor Washington","Northern Ireland","Forward",1992-05-18,24,6,NA,2016-03-24,"Wales 1-1 Northern Ireland","Cardiff",2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","QPR","ENG",178,74,"250097249","63","Forward",2
"Denys Boyko","Ukraine","Goalkeeper",1988-01-29,28,4,2,2014-11-18,"Ukraine 0-0 Lithuania","Kyiv",2016-03-24,"Ukraine 1-0 Cyprus","Odessa","Beşiktaş","TUR",194,82,"98113","57166","Goalkeeper",NA
"Andriy Pyatov","Ukraine","Goalkeeper",1984-06-28,31,66,44,2007-08-22,"Ukraine 2-1 Uzbekistan","Kyiv",2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Shakhtar Donetsk","UKR",190,84,"67855","57166","Goalkeeper",NA
"Mykyta Shevchenko","Ukraine","Goalkeeper",1993-01-26,23,0,0,NA,NA,NA,NA,NA,NA,"Zorya","UKR",187,80,"250054395","57166","Goalkeeper",NA
"Bohdan Butko","Ukraine","Defender",1991-01-13,25,17,NA,2011-09-02,"Ukraine 2-3 Uruguay","Kharkiv",2016-06-03,"Albania 1-3 Ukraine","Bergamo","Amkar","RUS",180,68,"1906029","57166","Central defender",0
"Yevhen Khacheridi","Ukraine","Defender",1987-07-28,28,44,NA,2009-10-10,"Ukraine 1-0 England","Dnipropetrovsk",2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Dynamo Kyiv","UKR",198,85,"250011944","57166","Central defender",3
"Olexandr Kucher","Ukraine","Defender",1982-10-22,33,50,NA,2006-08-15,"Ukraine 6-0 Azerbaijan","Kyiv",2016-05-29,"Romania 3-4 Ukraine","Turin","Shakhtar Donetsk","UKR",184,77,"71596","57166","Central defender",2
"Vyacheslav Shevchuk","Ukraine","Defender",1979-05-13,37,55,NA,2003-04-30,"Denmark 1-0 Ukraine","Copenhagen",2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Shakhtar Donetsk","UKR",184,78,"55031","57166","Full-back",0
"Artem Fedetskiy","Ukraine","Defender",1985-04-26,31,51,NA,2010-05-25,"Ukraine 4-0 Lithuania","Kharkiv",2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Dnipro","UKR",183,76,"98610","57166","Full-back",2
"Yaroslav Rakitskiy","Ukraine","Defender",1989-08-03,26,42,NA,2009-10-10,"Ukraine 1-0 England","Dnipropetrovsk",2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Shakhtar Donetsk","UKR",180,70,"250008930","57166","Central defender",4
"Anatoliy Tymoshchuk","Ukraine","Midfield",1979-03-30,37,143,NA,2000-04-26,"Bulgaria 0-1 Ukraine","Sofia",2016-06-03,"Albania 1-3 Ukraine","Bergamo","Kairat","KAZ",181,70,"34629","57166","Defensive midfielder",4
"Taras Stepanenko","Ukraine","Midfield",1989-08-08,26,31,NA,2010-11-17,"Switzerland 2-2 Ukraine","Geneva",2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Shakhtar Donetsk","UKR",181,75,"1902685","57166","Defensive midfielder",3
"Andriy Yarmolenko","Ukraine","Midfield",1989-10-23,26,61,NA,2009-09-05,"Ukraine 5-0 Andorra","Kyiv",2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Dynamo Kyiv","UKR",189,81,"250000069","57166","Winger",25
"Viktor Kovalenko","Ukraine","Midfield",1996-02-14,20,5,NA,2016-03-24,"Ukraine 1-0 Cyprus","Odessa",2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Shakhtar Donetsk","UKR",182,75,"250056865","57166","Attacking midfielder",0
"Yevhen Konoplyanka","Ukraine","Midfield",1989-09-29,26,55,NA,2010-05-25,"Ukraine 4-0 Lithuania","Kharkiv",2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Sevilla","ESP",176,69,"1905873","57166","Winger",13
"Ruslan Rotan","Ukraine","Midfield",1981-10-29,34,88,NA,2003-02-12,"Turkey 0-0 Ukraine","Izmir",2016-06-03,"Albania 1-3 Ukraine","Bergamo","Dnipro","UKR",174,67,"54090","57166","Central midfielder",7
"Serhiy Sydorchuk","Ukraine","Midfield",1991-05-02,25,14,NA,2014-10-09,"Belarus 0-2 Ukraine","Borisov",2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Dynamo Kyiv","UKR",189,90,"250008250","57166","Central midfielder",2
"Serhiy Rybalka","Ukraine","Midfield",1990-04-01,26,9,NA,2015-03-31,"Ukraine 1-1 Latvia",NA,2016-05-29,"Romania 3-4 Ukraine","Turin","Dynamo Kyiv","UKR",176,70,"250010235","57166","Defensive midfielder",0
"Denys Garmash","Ukraine","Midfield",1990-04-19,26,28,NA,2011-10-07,"Ukraine 3-0 Bulgaria","Kyiv",2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Dynamo Kyiv","UKR",186,72,"1902207","57166","Attacking midfielder",2
"Olexandr Zinchenko","Ukraine","Midfield",1996-12-15,19,5,NA,2015-10-12,"Ukraine 0-1 Spain","Kyiv",2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Ufa","RUS",175,61,"250056861","57166","Central midfielder",1
"Olexandr Karavaev","Ukraine","Midfield",1992-06-02,24,3,NA,2015-10-09,"FYR Macedonia 0-2 Ukraine","Skopje",2016-05-29,"Romania 3-4 Ukraine","Turin","Zorya","UKR",173,65,"250004740","57166","Winger",0
"Roman Zozulya","Ukraine","Forward",1989-11-17,26,28,NA,2010-06-02,"Norway 0-1 Ukraine",NA,2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Dnipro","UKR",176,72,"102745","57166","Forward",4
"Yevhen Seleznyov","Ukraine","Forward",1985-07-20,30,52,NA,2008-05-24,"Netherlands 3-0 Ukraine","Rotterdam",2016-06-16,"Ukraine 0-2 Northern Ireland","Lyon","Shakhtar Donetsk","UKR",188,85,"105931","57166","Forward",11
"Pylyp Budkivskiy","Ukraine","Forward",1992-03-10,24,6,NA,2014-10-09,"Belarus 0-2 Ukraine","Borisov",2015-03-31,"Ukraine 1-1 Latvia",NA,"Zorya","UKR",196,81,"250004753","57166","Forward",0
"Iker Casillas","Spain","Goalkeeper",1981-05-20,35,167,73,2000-06-03,"Sweden 1-1 Spain","Gothenburg",2016-06-01,"Spain 6-1 Korea Republic","Salzburg","Porto","POR",185,84,"34694","122","Goalkeeper",NA
"David de Gea","Spain","Goalkeeper",1990-11-07,25,11,6,2014-06-07,"El Salvador 0-2 Spain",NA,2016-06-17,"Spain 3-0 Turkey","Nice","Man. United","ENG",192,76,"1901746","122","Goalkeeper",NA
"Sergio Rico","Spain","Goalkeeper",1993-09-01,22,1,1,2016-06-01,"Spain 6-1 Korea Republic","Salzburg",2016-06-01,"Spain 6-1 Korea Republic","Salzburg","Sevilla","ESP",195,90,"250062440","122","Goalkeeper",NA
"César Azpilicueta","Spain","Defender",1989-08-28,26,16,NA,2013-02-06,"Spain 3-1 Uruguay","Doha",2016-06-17,"Spain 3-0 Turkey","Nice","Chelsea","ENG",178,75,"103827","122","Full-back",0
"Gerard Piqué","Spain","Defender",1987-02-02,29,79,NA,2009-02-11,"Spain 2-0 England","Seville",2016-06-17,"Spain 3-0 Turkey","Nice","Barcelona","ESP",193,85,"93148","122","Central defender",5
"Marc Bartra","Spain","Defender",1991-01-15,25,9,NA,2014-09-08,"Spain 5-1 FYR Macedonia","Valencia",2016-06-01,"Spain 6-1 Korea Republic","Salzburg","Barcelona","ESP",183,74,"250010245","122","Central defender",0
"Héctor Bellerín","Spain","Defender",1995-03-19,21,3,NA,2016-05-29,"Spain 3-1 Bosnia and Herzegovina","St Gallen",2016-06-07,"Spain 0-1 Georgia","Getafe","Arsenal","ENG",177,74,"250047082","122","Full-back",0
"Sergio Ramos","Spain","Defender",1986-03-30,30,133,NA,2005-03-26,"Spain 3-0 China PR","Salamanca",2016-06-17,"Spain 3-0 Turkey","Nice","Real Madrid","ESP",183,75,"93649","122","Central defender",10
"Juanfran","Spain","Defender",1985-01-09,31,19,NA,2012-05-26,"Spain 2-0 Serbia",NA,2016-06-17,"Spain 3-0 Turkey","Nice","Atlético","ESP",180,72,"69172","122","Full-back",0
"Mikel San José","Spain","Defender",1989-05-30,27,7,NA,2014-09-04,"France 1-0 Spain",NA,2016-06-07,"Spain 0-1 Georgia","Getafe","Athletic","ESP",186,77,"1902636","122","Central defender",0
"Jordi Alba","Spain","Defender",1989-03-21,27,45,NA,2011-10-11,"Spain 3-1 Scotland","Alicante",2016-06-17,"Spain 3-0 Turkey","Nice","Barcelona","ESP",170,68,"250000036","122","Full-back",6
"Sergio Busquets","Spain","Midfield",1988-07-16,27,85,NA,2009-04-01,"Turkey 1-2 Spain","Istanbul",2016-06-17,"Spain 3-0 Turkey","Nice","Barcelona","ESP",189,76,"250002704","122","Defensive midfielder",2
"Andrés Iniesta","Spain","Midfield",1984-05-11,32,110,NA,2006-05-27,"Spain 0-0 Russia","Albacete",2016-06-17,"Spain 3-0 Turkey","Nice","Barcelona","ESP",171,68,"58031","122","Attacking midfielder",12
"Koke","Spain","Midfield",1992-01-08,24,23,NA,2013-08-14,"Ecuador 0-2 Spain",NA,2016-06-17,"Spain 3-0 Turkey","Nice","Atlético","ESP",178,74,"1909917","122","Central midfielder",0
"Cesc Fàbregas","Spain","Midfield",1987-05-04,29,108,NA,2006-03-01,"Spain 3-2 Ivory Coast","Valladolid",2016-06-17,"Spain 3-0 Turkey","Nice","Chelsea","ENG",175,74,"70072","122","Central midfielder",15
"Thiago Alcántara","Spain","Midfield",1991-04-11,25,11,NA,2011-08-10,"Italy 2-1 Spain","Bari",2016-06-13,"Spain 1-0 Czech Republic","Toulouse","Bayern","GER",172,71,"1906776","122","Central midfielder",0
"Bruno Soriano","Spain","Midfield",1984-06-12,32,9,NA,2010-08-11,"Mexico 1-1 Spain",NA,2016-06-17,"Spain 3-0 Turkey","Nice","Villarreal","ESP",184,73,"93936","122","Defensive midfielder",0
"David Silva","Spain","Midfield",1986-01-08,30,101,NA,2006-11-15,"Spain 0-1 Romania","Cadiz",2016-06-17,"Spain 3-0 Turkey","Nice","Man. City","ENG",173,67,"64257","122","Attacking midfielder",24
"Álvaro Morata","Spain","Forward",1992-10-23,23,11,NA,2014-11-15,"Spain 3-0 Belarus","Huelva",2016-06-17,"Spain 3-0 Turkey","Nice","Juventus","ITA",189,85,"250024456","122","Forward",5
"Lucas Vázquez","Spain","Forward",1991-07-01,24,1,NA,NA,NA,NA,2016-06-07,"Spain 0-1 Georgia","Getafe","Real Madrid","ESP",173,70,"250040521","122","Forward",0
"Pedro Rodríguez","Spain","Forward",1987-07-28,28,58,NA,2010-05-29,"Spain 3-2 Saudi Arabia","Innsbruck",2016-06-13,"Spain 1-0 Czech Republic","Toulouse","Chelsea","ENG",167,62,"250002701","122","Winger",17
"Aritz Aduriz","Spain","Forward",1981-02-11,35,7,NA,2010-10-08,"Spain 3-1 Lithuania","Salamanca",2016-06-13,"Spain 1-0 Czech Republic","Toulouse","Athletic","ESP",181,75,"250015849","122","Forward",1
"Nolito","Spain","Forward",1986-10-15,29,11,NA,2014-11-18,"Spain 0-1 Germany","Vigo",2016-06-17,"Spain 3-0 Turkey","Nice","Celta","ESP",175,65,"250022288","122","Winger",5
"Ivan Vargić","Croatia","Goalkeeper",1987-03-15,29,2,1,2014-11-12,"Croatia 1-2 Argentina","London",2015-11-17,"Russia 1-3 Croatia",NA,"Rijeka","CRO",192,90,"1902672","56370","Goalkeeper",NA
"Lovre Kalinić","Croatia","Goalkeeper",1990-04-03,26,4,3,2014-11-12,"Croatia 1-2 Argentina","London",2016-03-26,"Hungary 1-1 Croatia","Budapest","Hajduk Split","CRO",201,96,"108956","56370","Goalkeeper",NA
"Danijel Subašić","Croatia","Goalkeeper",1984-10-27,31,23,11,2009-11-14,"Croatia 5-0 Liechtenstein","Vinkovci",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Monaco","FRA",191,87,"106230","56370","Goalkeeper",NA
"Šime Vrsaljko","Croatia","Defender",1992-01-10,24,20,NA,2011-02-09,"Croatia 4-2 Czech Republic",NA,2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Sassuolo","ITA",183,75,"1906421","56370","Full-back",0
"Ivan Strinić","Croatia","Defender",1987-07-17,28,37,NA,2010-05-19,"Austria 0-1 Croatia",NA,2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Napoli","ITA",186,78,"72977","56370","Full-back",0
"Vedran Ćorluka","Croatia","Defender",1986-02-05,30,89,NA,2006-08-16,"Italy 0-2 Croatia","Livorno",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Lokomotiv Moskva","RUS",192,84,"69622","56370","Central defender",4
"Tin Jedvaj","Croatia","Defender",1995-11-28,20,3,NA,2014-09-04,"Croatia 2-0 Cyprus",NA,2015-06-07,"Croatia 4-0 Gibraltar",NA,"Leverkusen","GER",184,80,"250042622","56370","Central defender",0
"Darijo Srna","Croatia","Defender",1982-05-01,34,131,NA,2002-11-20,"Romania 0-1 Croatia","Timisoara",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Shakhtar Donetsk","UKR",178,78,"48893","56370","Full-back",22
