"name","country","position","date_of_birth","age","caps","goals_conceded","senior_debut_date","senior_debut_match","senior_debut_match_location","last_appearance_date","last_appearance_match","last_appearance_location","club","league","height","weight","id","team_id","detailed_position","goals"
"Nathaniel Clyne","England","Defender",1991-04-05,25,12,NA,2014-11-15,"England 3-1 Slovenia","London",2016-05-27,"England 2-1 Australia","Sunderland","Liverpool","ENG",175,67,"250017926","39","Full-back",0
"John Stones","England","Defender",1994-05-28,22,10,NA,2014-05-30,"England 3-0 Peru","London",2016-05-27,"England 2-1 Australia","Sunderland","Everton","ENG",188,70,"250064233","39","Central defender",0
"Ryan Bertrand","England","Defender",1989-08-05,26,8,NA,2012-08-15,"England 2-1 Italy",NA,2016-05-27,"England 2-1 Australia","Sunderland","Southampton","ENG",179,85,"103869","39","Full-back",0
"James Milner","England","Midfield",1986-01-04,30,61,NA,2009-08-12,"Netherlands 2-2 England","Amsterdam",2016-06-11,"England 1-1 Russia","Marseille","Liverpool","ENG",175,70,"70120","39","Central midfielder",1
"Raheem Sterling","England","Midfield",1994-12-08,21,25,NA,2012-11-14,"Sweden 4-2 England","Solna",2016-06-16,"England 2-1 Wales","Lens Agglo","Man. City","ENG",170,69,"250024795","39","Winger",2
"Adam Lallana","England","Midfield",1988-05-10,28,25,NA,2013-11-15,"England 0-2 Chile","London",2016-06-16,"England 2-1 Wales","Lens Agglo","Liverpool","ENG",172,73,"99208","39","Attacking midfielder",0
"Jordan Henderson","England","Midfield",1990-06-17,26,26,NA,2010-11-17,"England 1-2 France","London",2016-06-02,"England 1-0 Portugal","London","Liverpool","ENG",182,67,"250010260","39","Central midfielder",0
"Eric Dier","England","Midfield",1994-01-15,22,9,NA,2015-11-13,"Spain 2-0 England",NA,2016-06-16,"England 2-1 Wales","Lens Agglo","Tottenham","ENG",188,88,"250050416","39","Defensive midfielder",2
"Jack Wilshere","England","Midfield",1992-01-01,24,32,NA,2010-08-11,"England 3-0 Hungary","London",2016-06-11,"England 1-1 Russia","Marseille","Arsenal","ENG",172,65,"1907893","39","Central midfielder",2
"Ross Barkley","England","Midfield",1993-12-05,22,22,NA,2013-09-06,"England 4-0 Moldova","London",2016-05-27,"England 2-1 Australia","Sunderland","Everton","ENG",189,76,"250007655","39","Attacking midfielder",2
"Dele Alli","England","Midfield",1996-04-11,20,10,NA,2015-10-09,"England 2-0 Estonia","London",2016-06-16,"England 2-1 Wales","Lens Agglo","Tottenham","ENG",188,73,"250058217","39","Attacking midfielder",1
"Harry Kane","England","Forward",1993-07-28,22,14,NA,2015-03-27,"England 4-0 Lithuania","London",2016-06-16,"England 2-1 Wales","Lens Agglo","Tottenham","ENG",188,65,"250016833","39","Forward",5
"Wayne Rooney","England","Forward",1985-10-24,30,113,NA,2003-02-12,"England 1-3 Australia","London",2016-06-16,"England 2-1 Wales","Lens Agglo","Man. United","ENG",176,83,"63891","39","Forward",52
"Jamie Vardy","England","Forward",1987-01-11,29,9,NA,2015-06-07,"Republic of Ireland 0-0 England",NA,2016-06-16,"England 2-1 Wales","Lens Agglo","Leicester","ENG",178,76,"250082842","39","Forward",4
"Daniel Sturridge","England","Forward",1989-09-01,26,19,NA,2011-11-15,"England 1-0 Sweden","London",2016-06-16,"England 2-1 Wales","Lens Agglo","Liverpool","ENG",188,76,"103561","39","Forward",6
"Marcus Rashford","England","Forward",1997-10-31,18,2,NA,2016-05-27,"England 2-1 Australia","Sunderland",2016-06-16,"England 2-1 Wales","Lens Agglo","Man. United","ENG",180,70,"250088246","39","Forward",1
"Wayne Hennessey","Wales","Goalkeeper",1987-01-24,29,58,49,2007-05-26,"Wales 2-2 New Zealand","Wrexham",2016-06-16,"England 2-1 Wales","Lens Agglo","Crystal Palace","ENG",198,90,"74897","144","Goalkeeper",NA
"Owain Fôn Williams","Wales","Goalkeeper",1987-03-17,29,1,0,2015-11-13,"Wales 2-3 Netherlands",NA,2015-11-13,"Wales 2-3 Netherlands",NA,"Inverness","SCO",193,77,"74898","144","Goalkeeper",NA
"Danny Ward","Wales","Goalkeeper",1993-06-22,22,3,4,2016-03-24,"Wales 1-1 Northern Ireland","Cardiff",2016-06-11,"Wales 2-1 Slovakia","Bordeaux","Liverpool","ENG",191,88,"250012939","144","Goalkeeper",NA
"Chris Gunter","Wales","Defender",1989-07-21,26,69,NA,2007-05-26,"Wales 2-2 New Zealand","Wrexham",2016-06-16,"England 2-1 Wales","Lens Agglo","Reading","ENG",180,71,"102221","144","Full-back",0
"Neil Taylor","Wales","Defender",1989-02-07,27,30,NA,2010-05-23,"Croatia 2-0 Wales","Osijek",2016-06-16,"England 2-1 Wales","Lens Agglo","Swansea","ENG",175,64,"102222","144","Full-back",0
"Ben Davies","Wales","Defender",1993-04-24,23,22,NA,2012-10-12,"Wales 2-1 Scotland","Cardiff",2016-06-16,"England 2-1 Wales","Lens Agglo","Tottenham","ENG",181,76,"250012942","144","Full-back",0
"James Chester","Wales","Defender",1989-01-23,27,13,NA,2014-06-04,"Netherlands 2-0 Wales","Amsterdam",2016-06-16,"England 2-1 Wales","Lens Agglo","West Brom","ENG",177,75,"1908589","144","Central defender",0
"Ashley Williams","Wales","Defender",1984-08-23,31,61,NA,2008-03-26,"Luxembourg 0-2 Wales","Luxembourg",2016-06-16,"England 2-1 Wales","Lens Agglo","Swansea","ENG",183,71,"250006700","144","Central defender",1
"Jazz Richards","Wales","Defender",1991-04-12,25,10,NA,2012-05-27,"Wales 0-2 Mexico",NA,2016-06-11,"Wales 2-1 Slovakia","Bordeaux","Fulham","ENG",185,78,"1906823","144","Full-back",0
"James Collins","Wales","Defender",1983-08-23,32,47,NA,2004-05-27,"Norway 0-0 Wales","Oslo",2016-06-05,"Sweden 3-0 Wales","Solna","West Ham","ENG",188,83,"52827","144","Central defender",3
"Joe Allen","Wales","Midfield",1990-03-14,26,27,NA,2009-05-29,"Wales 1-0 Estonia","Llanelli",2016-06-16,"England 2-1 Wales","Lens Agglo","Liverpool","ENG",168,62,"107011","144","Central midfielder",0
"Andy King","Wales","Midfield",1988-10-29,27,33,NA,2009-05-29,"Wales 1-0 Estonia","Llanelli",2016-06-05,"Sweden 3-0 Wales","Solna","Leicester","ENG",183,74,"1908783","144","",2
"Aaron Ramsey","Wales","Midfield",1990-12-26,25,41,NA,2008-11-19,"Denmark 0-1 Wales","Brondby",2016-06-16,"England 2-1 Wales","Lens Agglo","Arsenal","ENG",178,76,"103769","144","Central midfielder",10
"David Edwards","Wales","Midfield",1986-02-03,30,34,NA,2007-11-17,"Wales 2-2 Republic of Ireland","Cardiff",2016-06-16,"England 2-1 Wales","Lens Agglo","Wolves","ENG",183,78,"67358","144","Defensive midfielder",3
"Joe Ledley","Wales","Midfield",1987-01-23,29,63,NA,2005-09-07,"Poland 1-0 Wales","Warsaw",2016-06-16,"England 2-1 Wales","Lens Agglo","Crystal Palace","ENG",183,73,"74899","144","Central midfielder",4
"Jonathan Williams","Wales","Midfield",1993-10-09,22,14,NA,2013-03-22,"Scotland 1-2 Wales","Glasgow",2016-06-16,"England 2-1 Wales","Lens Agglo","Crystal Palace","ENG",168,60,"250007344","144","Winger",0
"David Vaughan","Wales","Midfield",1983-02-18,33,42,NA,2003-05-26,"USA 2-0 Wales","San José",2016-06-05,"Sweden 3-0 Wales","Solna","Nottm Forest","ENG",171,70,"65255","144","Central midfielder",1
"Hal Robson-Kanu","Wales","Forward",1989-05-21,27,32,NA,2010-05-23,"Croatia 2-0 Wales","Osijek",2016-06-16,"England 2-1 Wales","Lens Agglo","Reading","ENG",183,83,"250022171","144","Forward",3
"Gareth Bale","Wales","Forward",1989-07-16,26,57,NA,2006-05-27,"Wales 2-1 Trinidad and Tobago","Graz",2016-06-16,"England 2-1 Wales","Lens Agglo","Real Madrid","ESP",183,74,"102225","144","Forward",21
"George Williams","Wales","Forward",1995-09-07,20,7,NA,2014-06-04,"Netherlands 2-0 Wales","Amsterdam",2016-03-24,"Wales 1-1 Northern Ireland","Cardiff","Fulham","ENG",172,73,"250047038","144","Winger",0
"David Cotterill","Wales","Forward",1987-12-04,28,23,NA,2005-10-12,"Wales 2-0 Azerbaijan","Cardiff",2016-03-24,"Wales 1-1 Northern Ireland","Cardiff","Birmingham","ENG",175,71,"97627","144","Winger",2
"Sam Vokes","Wales","Forward",1989-10-21,26,40,NA,2008-05-28,"Iceland 0-1 Wales","Reykjavik",2016-06-05,"Sweden 3-0 Wales","Solna","Burnley","ENG",186,90,"1906115","144","Forward",6
"Simon Church","Wales","Forward",1988-12-10,27,36,NA,2009-05-29,"Wales 1-0 Estonia","Llanelli",2016-06-05,"Sweden 3-0 Wales","Solna","MK Dons","ENG",183,84,"1906114","144","Forward",3
"Ján Mucha","Slovakia","Goalkeeper",1982-12-05,33,46,45,2008-02-06,"Slovakia 1-1 Hungary","Limassol",2016-05-27,"Slovakia 3-1 Georgia","Wels","Slovan Bratislava","SVK",189,90,"48594","58836","Goalkeeper",NA
"Ján Novota","Slovakia","Goalkeeper",1983-11-29,32,3,1,2014-05-23,"Slovakia 2-0 Montenegro","Senec",2016-05-27,"Slovakia 3-1 Georgia","Wels","Rapid Wien","AUT",197,90,"250037814","58836","Goalkeeper",NA
"Matúš Kozáčik","Slovakia","Goalkeeper",1983-12-27,32,19,16,2006-12-10,"United Arab Emirates 1-2 Slovakia","Abu Dhabi",2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","Plzeň","CZE",193,88,"52007","58836","Goalkeeper",NA
"Peter Pekarík","Slovakia","Defender",1986-10-30,29,69,NA,2006-12-10,"United Arab Emirates 1-2 Slovakia","Abu Dhabi",2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","Hertha","GER",176,70,"67750","58836","Full-back",2
"Martin Škrtel","Slovakia","Defender",1984-12-15,31,83,NA,2004-07-09,"Japan 3-1 Slovakia","Hiroshima",2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","Liverpool","ENG",193,81,"65030","58836","Central defender",5
"Ján Ďurica","Slovakia","Defender",1981-12-10,34,82,NA,2003-12-10,"Kuwait 0-2 Slovakia",NA,2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","Lokomotiv Moskva","RUS",188,86,"71720","58836","Central defender",4
"Norbert Gyömber","Slovakia","Defender",1992-07-03,23,13,NA,2014-03-05,"Israel 1-3 Slovakia","Netanya",2016-05-27,"Slovakia 3-1 Georgia","Wels","Roma","ITA",189,74,"250004993","58836","Central defender",0
"Milan Škriniar","Slovakia","Defender",1995-02-11,21,2,NA,2016-05-27,"Slovakia 3-1 Georgia","Wels",2016-05-29,"Germany 1-3 Slovakia","Augsburg","Sampdoria","ITA",187,80,"250041563","58836","Central defender",0
"Tomáš Hubočan","Slovakia","Defender",1985-09-17,30,45,NA,2006-12-10,"United Arab Emirates 1-2 Slovakia","Abu Dhabi",2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","Dinamo Moskva","RUS",184,70,"95711","58836","Central defender",0
"Kornel Saláta","Slovakia","Defender",1985-01-24,31,37,NA,2008-05-24,"Switzerland 2-0 Slovakia","Lugano",2016-05-27,"Slovakia 3-1 Georgia","Wels","Slovan Bratislava","SVK",191,89,"105127","58836","Central defender",2
"Dušan Švento","Slovakia","Defender",1985-08-01,30,41,NA,2006-08-15,"Slovakia 3-0 Malta","Bratislava",2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","Köln","GER",178,70,"93565","58836","Full-back",1
"Ján Greguš","Slovakia","Midfield",1991-01-29,25,7,NA,2015-03-31,"Slovakia 1-0 Czech Republic",NA,2016-05-29,"Germany 1-3 Slovakia","Augsburg","Jablonec","CZE",189,70,"1906308","58836","Attacking midfielder",0
"Vladimír Weiss","Slovakia","Midfield",1989-11-30,26,54,NA,2009-08-12,"Iceland 1-1 Slovakia","Reykjavik",2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","Al-Gharafa","QAT",173,71,"102153","58836","Winger",5
"Ondrej Duda","Slovakia","Midfield",1994-12-05,21,13,NA,2014-11-18,"Slovakia 2-1 Finland","Zilina",2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","Legia","POL",181,74,"250055981","58836","Attacking midfielder",2
"Miroslav Stoch","Slovakia","Midfield",1989-10-19,26,55,NA,2009-02-10,"Slovakia 2-3 Ukraine","Limassol",2016-06-11,"Wales 2-1 Slovakia","Bordeaux","Bursaspor","TUR",169,66,"102152","58836","Winger",6
"Patrik Hrošovský","Slovakia","Midfield",1992-04-22,24,13,NA,2014-11-18,"Slovakia 2-1 Finland","Zilina",2016-06-11,"Wales 2-1 Slovakia","Bordeaux","Plzeň","CZE",172,68,"250043185","58836","Attacking midfielder",0
"Marek Hamšík","Slovakia","Midfield",1987-07-27,28,89,NA,2007-02-07,"Poland 2-2 Slovakia","Jerez De La Frontera",2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","Napoli","ITA",183,79,"73965","58836","Attacking midfielder",19
"Juraj Kucka","Slovakia","Midfield",1987-02-26,29,49,NA,2008-11-19,"Slovakia 4-0 Liechtenstein","Zilina",2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","Milan","ITA",186,86,"1905643","58836","Defensive midfielder",5
"Róbert Mak","Slovakia","Midfield",1991-03-08,25,29,NA,2013-02-06,"Belgium 2-1 Slovakia","Bruges",2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","PAOK","GRE",179,78,"107044","58836","Winger",7
"Viktor Pečovský","Slovakia","Midfield",1983-05-24,33,33,NA,2012-08-15,"Denmark 1-3 Slovakia",NA,2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","Žilina","SVK",171,74,"63209","58836","Defensive midfielder",1
"Stanislav Šesták","Slovakia","Forward",1982-12-16,33,65,NA,2004-08-18,"Slovakia 3-1 Luxembourg","Bratislava",2016-05-29,"Germany 1-3 Slovakia","Augsburg","Ferencváros","HUN",180,74,"57689","58836","Forward",13
"Adam Nemec","Slovakia","Forward",1985-09-02,30,24,NA,2006-12-10,"United Arab Emirates 1-2 Slovakia","Abu Dhabi",2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","Willem II","NED",190,84,"93563","58836","Forward",6
"Michal Ďuriš","Slovakia","Forward",1988-06-01,28,28,NA,2012-08-15,"Denmark 1-3 Slovakia",NA,2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","Plzeň","CZE",183,75,"107472","58836","Forward",4
"Igor Akinfeev","Russia","Goalkeeper",1986-04-08,30,88,64,2004-04-28,"Norway 3-2 Russia","Oslo",2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","CSKA Moskva","RUS",186,82,"66794","57451","Goalkeeper",NA
"Yuri Lodygin","Russia","Goalkeeper",1990-05-26,26,11,3,2013-11-19,"Russia 2-1 Korea Republic","Dubai",2016-06-01,"Czech Republic 2-1 Russia","Innsbruck","Zenit","RUS",187,82,"250062290","57451","Goalkeeper",NA
"Guilherme","Russia","Goalkeeper",1985-12-12,30,2,2,2016-03-26,"Russia 3-0 Lithuania","Moscow",2016-06-01,"Czech Republic 2-1 Russia","Innsbruck","Lokomotiv Moskva","RUS",197,78,"1905775","57451","Goalkeeper",NA
"Roman Shishkin","Russia","Defender",1987-01-27,29,11,NA,2007-03-24,"Estonia 0-2 Russia","Tallinn",2016-06-05,"Serbia 1-1 Russia","Monaco","Lokomotiv Moskva","RUS",176,73,"93838","57451","Full-back",0
"Igor Smolnikov","Russia","Defender",1988-08-08,27,16,NA,2013-11-19,"Russia 2-1 Korea Republic","Dubai",2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","Zenit","RUS",178,70,"108017","57451","Full-back",0
"Sergei Ignashevich","Russia","Defender",1979-07-14,36,118,NA,2002-08-21,"Russia 1-1 Sweden","Moscow",2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","CSKA Moskva","RUS",187,84,"55543","57451","Central defender",8
"Roman Neustädter","Russia","Defender",1988-02-18,28,5,NA,2016-06-01,"Czech Republic 2-1 Russia","Innsbruck",2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","Schalke","GER",190,83,"250011785","57451","Defensive midfielder",0
"Aleksei Berezutski","Russia","Defender",1982-06-20,33,55,NA,2003-02-12,"Cyprus 0-1 Russia","Limassol",2016-03-29,"France 4-2 Russia","Saint-Denis","CSKA Moskva","RUS",190,87,"49086","57451","Central defender",0
"Vasili Berezutski","Russia","Defender",1982-06-20,33,97,NA,2003-06-07,"Switzerland 2-2 Russia","Basel",2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","CSKA Moskva","RUS",189,87,"49083","57451","Central defender",5
"Georgi Schennikov","Russia","Defender",1991-04-27,25,10,NA,2012-08-15,"Russia 1-1 Ivory Coast","Moscow",2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","CSKA Moskva","RUS",180,75,"1906987","57451","Full-back",0
"Dmitri Kombarov","Russia","Defender",1987-01-22,29,38,NA,2012-02-29,"Denmark 0-2 Russia",NA,2016-06-01,"Czech Republic 2-1 Russia","Innsbruck","Spartak Moskva","RUS",181,72,"102799","57451","Full-back",2
"Artur Yusupov","Russia","Midfield",1989-09-01,26,2,NA,2015-11-17,"Russia 1-3 Croatia",NA,2016-03-26,"Russia 3-0 Lithuania","Moscow","Zenit","RUS",180,73,"250007698","57451","Central midfielder",0
"Denis Glushakov","Russia","Midfield",1987-01-27,29,45,NA,2011-03-29,"Qatar 1-1 Russia","Doha",2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","Spartak Moskva","RUS",182,80,"250002908","57451","Central midfielder",5
"Pavel Mamaev","Russia","Midfield",1988-09-17,27,14,NA,2010-11-17,"Russia 0-2 Belgium",NA,2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","Krasnodar","RUS",178,70,"106215","57451","Central midfielder",0
"Aleksandr Golovin","Russia","Midfield",1996-05-30,20,7,NA,2015-06-07,"Russia 4-2 Belarus",NA,2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","CSKA Moskva","RUS",180,69,"250058227","57451","Attacking midfielder",2
"Roman Shirokov","Russia","Midfield",1981-07-06,34,55,NA,2008-03-26,"Romania 3-0 Russia","Bucharest",2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","CSKA Moskva","RUS",183,80,"1907617","57451","Full-back",13
"Oleg Shatov","Russia","Midfield",1990-07-29,25,25,NA,2013-02-06,"Iceland 0-2 Russia","Marbella",2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","Zenit","RUS",173,73,"250008904","57451","Attacking midfielder",2
"Oleg Ivanov","Russia","Midfield",1986-08-04,29,5,NA,2015-06-07,"Russia 4-2 Belarus",NA,2016-06-05,"Serbia 1-1 Russia","Monaco","Terek","RUS",192,87,"91365","57451","Central midfielder",0
"Aleksandr Samedov","Russia","Midfield",1984-07-19,31,29,NA,2011-10-07,"Slovakia 0-1 Russia","Zilina",2016-06-01,"Czech Republic 2-1 Russia","Innsbruck","Lokomotiv Moskva","RUS",177,75,"72363","57451","Winger",3
"Dmitri Torbinski","Russia","Midfield",1984-04-28,32,30,NA,2007-03-24,"Estonia 0-2 Russia","Tallinn",2016-06-05,"Serbia 1-1 Russia","Monaco","Krasnodar","RUS",172,60,"68860","57451","Winger",2
"Aleksandr Kokorin","Russia","Forward",1991-03-19,25,40,NA,2011-11-11,"Greece 1-1 Russia","Piraeus",2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","Zenit","RUS",181,74,"1909617","57451","Forward",12
"Fedor Smolov","Russia","Forward",1990-02-09,26,16,NA,2012-11-14,"Russia 2-2 USA",NA,2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","Krasnodar","RUS",187,80,"108421","57451","Forward",5
"Artem Dzyuba","Russia","Forward",1988-08-22,27,20,NA,2011-11-11,"Greece 1-1 Russia","Piraeus",2016-06-15,"Russia 1-2 Slovakia","Lille Métropole","Zenit","RUS",196,91,"97787","57451","Forward",9
"Manuel Neuer","Germany","Goalkeeper",1986-03-27,30,67,55,2009-06-02,"United Arab Emirates 2-7 Germany",NA,2016-06-16,"Germany 0-0 Poland","Saint-Denis","Bayern","GER",193,92,"97923","47","Goalkeeper",NA
"Bernd Leno","Germany","Goalkeeper",1992-03-04,24,1,2,2016-05-29,"Germany 1-3 Slovakia","Augsburg",2016-05-29,"Germany 1-3 Slovakia","Augsburg","Leverkusen","GER",190,83,"250007620","47","Goalkeeper",NA
"Marc-André ter Stegen","Germany","Goalkeeper",1992-04-30,24,6,12,2012-05-26,"Switzerland 5-3 Germany",NA,2016-05-29,"Germany 1-3 Slovakia","Augsburg","Barcelona","ESP",187,85,"250007631","47","Goalkeeper",NA
"Shkodran Mustafi","Germany","Defender",1992-04-17,24,11,NA,2014-05-13,"Germany 0-0 Poland","Hamburg",2016-06-12,"Germany 2-0 Ukraine","Lille Métropole","Valencia","ESP",184,82,"250007624","47","Central defender",1
"Jonas Hector","Germany","Defender",1990-05-27,26,16,NA,2014-11-14,"Germany 4-0 Gibraltar","Nuremberg",2016-06-16,"Germany 0-0 Poland","Saint-Denis","Köln","GER",185,75,"250080523","47","Full-back",1
"Benedikt Höwedes","Germany","Defender",1988-02-29,28,36,NA,2011-05-29,"Germany 2-1 Uruguay",NA,2016-06-16,"Germany 0-0 Poland","Saint-Denis","Schalke","GER",187,82,"108131","47","Central defender",2
"Mats Hummels","Germany","Defender",1988-12-16,27,47,NA,2010-05-13,"Germany 3-0 Malta",NA,2016-06-16,"Germany 0-0 Poland","Saint-Denis","Dortmund","GER",191,92,"106587","47","Central defender",4
