"jersey_no","name","tm_id","tm_position","date_of_birth","age","tm_team_id","tm_team","foot","tm_value","tm_currency","height","debut","country"
"1","Hugo Lloris","17965","Keeper",1986-12-26,29,"148","Tottenham Hotspur","left",24000000,"€  ",188,2008-11-19,"France"
"16","Steve Mandanda","23951","Keeper",1985-03-28,31,"244","Olympique Marseille","right",10000000,"€  ",185,2008-05-27,"France"
"23","Benoît Costil","22628","Keeper",1987-07-03,28,"273","Stade Rennais FC","right",8000000,"€  ",188,NA,"France"
"13","Eliaquim Mangala","90681","Centre Back",1991-02-13,25,"281","Manchester City","left",23000000,"€  ",186,2013-06-05,"France"
"21","Laurent Koscielny","76277","Centre Back",1985-09-10,30,"11","Arsenal FC","right",22000000,"€  ",186,2011-11-11,"France"
"22","Samuel Umtiti","126540","Centre Back",1993-11-14,22,"1041","Olympique Lyon","left",15000000,"€  ",181,NA,"France"
"4","Adil Rami","51118","Centre Back",1985-12-27,30,"368","Sevilla FC","right",7000000,"€  ",190,2010-08-11,"France"
"17","Lucas Digne","126664","Left-Back",1993-07-20,22,"12","AS Roma","left",12000000,"€  ",178,2014-03-05,"France"
"3","Patrice Evra","5285","Left-Back",1981-05-15,35,"506","Juventus FC","left",1000000,"€  ",174,2004-08-18,"France"
"19","Bacary Sagna","26764","Right-Back",1983-02-14,33,"281","Manchester City","right",7000000,"€  ",176,2007-08-22,"France"
"2","Christophe Jallet","28335","Right-Back",1983-10-31,32,"1041","Olympique Lyon","right",2000000,"€  ",176,2012-08-15,"France"
"12","Morgan Schneiderlin","56818","Defensive Midfield",1989-11-08,26,"985","Manchester United","right",30000000,"€  ",186,2014-06-08,"France"
"15","Paul Pogba","122153","Central Midfield",1993-03-15,23,"506","Juventus FC","both",70000000,"€  ",191,2013-03-22,"France"
"14","Blaise Matuidi","33923","Central Midfield",1987-04-09,29,"583","Paris Saint-Germain","left",30000000,"€  ",178,2010-09-07,"France"
"5","N'Golo Kanté","225083","Central Midfield",1991-03-29,25,"1003","Leicester City","right",20000000,"€  ",169,2016-03-25,"France"
"6","Yohan Cabaye","29434","Central Midfield",1986-01-14,30,"873","Crystal Palace","right",18000000,"€  ",173,2010-08-11,"France"
"18","Moussa Sissoko","46001","Central Midfield",1989-08-16,26,"762","Newcastle United","right",13000000,"€  ",187,2009-10-10,"France"
"12","Dimitri Payet","37647","Attacking Midfield",1987-03-29,29,"379","West Ham United","both",23000000,"€  ",176,2010-10-09,"France"
"20","Kingsley Coman","243714","Right Wing",1996-06-13,20,"27","Bayern Munich","right",17000000,"€  ",178,2015-11-13,"France"
"7","Antoine Griezmann","125781","Secondary Striker",1991-03-21,25,"13","Atlético Madrid","left",70000000,"€  ",175,2014-03-05,"France"
"11","Anthony Martial","182877","Centre Forward",1995-12-05,20,"985","Manchester United","right",32000000,"€  ",181,2015-09-04,"France"
"9","Olivier Giroud","82442","Centre Forward",1986-09-30,29,"11","Arsenal FC","left",25000000,"€  ",192,2011-11-11,"France"
"10","André-Pierre Gignac","43907","Centre Forward",1985-12-05,30,"7055","Tigres UANL","right",8000000,"€  ",187,2009-04-01,"France"
"1","Joe Hart","40204","Keeper",1987-04-19,29,"281","Manchester City","right",17000000,"€  ",196,2008-06-01,"England"
"13","Fraser Forster","52570","Keeper",1988-03-17,28,"180","Southampton FC","right",15000000,"€  ",201,2013-11-15,"England"
"23","Tom Heaton","34130","Keeper",1986-04-15,30,"1132","Burnley FC","right",3000000,"€  ",188,2016-05-27,"England"
"16","John Stones","186590","Centre Back",1994-05-28,22,"29","Everton FC","right",28000000,"€  ",188,2014-05-30,"England"
"6","Chris Smalling","103427","Centre Back",1989-11-22,26,"985","Manchester United","right",20000000,"€  ",194,2011-09-02,"England"
"5","Gary Cahill","27511","Centre Back",1985-12-19,30,"631","Chelsea FC","right",16000000,"€  ",193,2010-09-03,"England"
"3","Danny Rose","50174","Left-Back",1990-07-02,25,"148","Tottenham Hotspur","left",14000000,"€  ",173,2016-03-26,"England"
"21","Ryan Bertrand","40611","Left-Back",1989-08-05,26,"180","Southampton FC","left",14000000,"€  ",179,2012-08-15,"England"
"12","Nathaniel Clyne","85177","Right-Back",1991-04-05,25,"31","Liverpool FC","right",21000000,"€  ",175,2014-11-15,"England"
"2","Kyle Walker","95424","Right-Back",1990-05-28,26,"148","Tottenham Hotspur","right",15000000,"€  ",178,2011-11-12,"England"
"17","Eric Dier","175722","Defensive Midfield",1994-01-15,22,"148","Tottenham Hotspur","right",18000000,"€  ",188,2015-11-13,"England"
"14","Jordan Henderson","61651","Central Midfield",1990-06-17,26,"31","Liverpool FC","right",28000000,"€  ",182,2010-11-17,"England"
"18","Jack Wilshere","74223","Central Midfield",1992-01-01,24,"11","Arsenal FC","left",23000000,"€  ",172,2010-08-11,"England"
"20","Dele Alli","207929","Central Midfield",1996-04-11,20,"148","Tottenham Hotspur","right",20000000,"€  ",188,2015-10-09,"England"
"4","James Milner","3333","Central Midfield",1986-01-04,30,"31","Liverpool FC","right",15000000,"€  ",176,2009-08-12,"England"
