"position","date_of_birth","caps","goals","club","player_url","name","club_name_detailed","club_url","country","wikidata_item","position_id","club_wikidata_item","club_wikidata_id"
"Defender","1985-09-10",29,1,"Arsenal","https://en.wikipedia.org/wiki/Laurent_Koscielny","Laurent Koscielny","Arsenal F.C.","https://en.wikipedia.org/wiki/Arsenal_F.C.","France","https://www.wikidata.org/wiki/Q1915",2,"https://www.wikidata.org/wiki/Q9617","Q9617"
"Defender","1993-11-14",0,0,"Lyon","https://en.wikipedia.org/wiki/Samuel_Umtiti","Samuel Umtiti","Olympique Lyonnais","https://en.wikipedia.org/wiki/Olympique_Lyonnais","France","https://www.wikidata.org/wiki/Q13308",2,"https://www.wikidata.org/wiki/Q704","Q704"
"Goalkeeper","1987-07-03",0,0,"Rennes","https://en.wikipedia.org/wiki/Beno%C3%AEt_Costil","Benoît Costil","Stade Rennais F.C.","https://en.wikipedia.org/wiki/Stade_Rennais_F.C.","France","https://www.wikidata.org/wiki/Q818111",1,"https://www.wikidata.org/wiki/Q19509","Q19509"
"Goalkeeper","1987-02-01",22,0,"Watford","https://en.wikipedia.org/wiki/Costel_Pantilimon","Costel Pantilimon","Watford F.C.","https://en.wikipedia.org/wiki/Watford_F.C.","Romania","https://www.wikidata.org/wiki/Q439309",1,"https://www.wikidata.org/wiki/Q2714","Q2714"
"Defender","1989-10-17",16,0,"Dinamo Zagreb","https://en.wikipedia.org/wiki/Alexandru_M%C4%83%C8%9Bel","Alexandru Mățel","GNK Dinamo Zagreb","https://en.wikipedia.org/wiki/GNK_Dinamo_Zagreb","Romania","https://www.wikidata.org/wiki/Q558361",2,"https://www.wikidata.org/wiki/Q172803","Q172803"
"Defender","1981-05-26",111,2,"Rayo Vallecano","https://en.wikipedia.org/wiki/R%C4%83zvan_Ra%C8%9B","Răzvan Raț","Rayo Vallecano","https://en.wikipedia.org/wiki/Rayo_Vallecano","Romania","https://www.wikidata.org/wiki/Q313149",2,"https://www.wikidata.org/wiki/Q10300","Q10300"
"Defender","1984-12-03",8,0,"Ludogorets Razgrad","https://en.wikipedia.org/wiki/Cosmin_Mo%C8%9Bi","Cosmin Moți","PFC Ludogorets Razgrad","https://en.wikipedia.org/wiki/PFC_Ludogorets_Razgrad","Romania","https://www.wikidata.org/wiki/Q514341",2,"https://www.wikidata.org/wiki/Q1339086","Q1339086"
"Midfield","1982-12-27",20,1,"Hapoel Be'er Sheva","https://en.wikipedia.org/wiki/Ovidiu_Hoban","Ovidiu Hoban","Hapoel Be'er Sheva F.C.","https://en.wikipedia.org/wiki/Hapoel_Be'er_Sheva_F.C.","Romania","https://www.wikidata.org/wiki/Q2363283",3,"https://www.wikidata.org/wiki/Q986529","Q986529"
"Defender","1989-11-14",40,0,"Napoli","https://en.wikipedia.org/wiki/Vlad_Chiriche%C8%99","Vlad Chiricheș","S.S.C. Napoli","https://en.wikipedia.org/wiki/S.S.C._Napoli","Romania","https://www.wikidata.org/wiki/Q1849128",2,"https://www.wikidata.org/wiki/Q2641","Q2641"
"Midfield","1989-05-18",21,3,"Steaua București","https://en.wikipedia.org/wiki/Alexandru_Chipciu","Alexandru Chipciu","FC Steaua București","https://en.wikipedia.org/wiki/FC_Steaua_Bucure%C8%99ti","Romania","https://www.wikidata.org/wiki/Q1346067",3,"https://www.wikidata.org/wiki/Q179658","Q179658"
"Midfield","1984-11-09",31,1,"Steaua București","https://en.wikipedia.org/wiki/Mihai_Pintilii","Mihai Pintilii","FC Steaua București","https://en.wikipedia.org/wiki/FC_Steaua_Bucure%C8%99ti","Romania","https://www.wikidata.org/wiki/Q1250828",3,"https://www.wikidata.org/wiki/Q179658","Q179658"
"Forward","1991-01-05",4,1,"Astra Giurgiu","https://en.wikipedia.org/wiki/Denis_Alibec","Denis Alibec","FC Astra Giurgiu","https://en.wikipedia.org/wiki/FC_Astra_Giurgiu","Romania","https://www.wikidata.org/wiki/Q507368",4,"https://www.wikidata.org/wiki/Q750322","Q750322"
"Midfield","1993-05-07",5,4,"Steaua București","https://en.wikipedia.org/wiki/Nicu%C8%99or_Stanciu","Nicușor Stanciu","FC Steaua București","https://en.wikipedia.org/wiki/FC_Steaua_Bucure%C8%99ti","Romania","https://www.wikidata.org/wiki/Q464694",3,"https://www.wikidata.org/wiki/Q179658","Q179658"
"Midfield","1989-11-22",50,11,"Osmanlıspor","https://en.wikipedia.org/wiki/Gabriel_Torje","Gabriel Torje","Osmanlıspor","https://en.wikipedia.org/wiki/Osmanl%C4%B1spor","Romania","https://www.wikidata.org/wiki/Q455905",3,"https://www.wikidata.org/wiki/Q556570","Q556570"
"Goalkeeper","1986-02-09",36,0,"Fiorentina","https://en.wikipedia.org/wiki/Ciprian_T%C4%83t%C4%83ru%C8%99anu","Ciprian Tătărușanu","ACF Fiorentina","https://en.wikipedia.org/wiki/ACF_Fiorentina","Romania","https://www.wikidata.org/wiki/Q614334",1,"https://www.wikidata.org/wiki/Q2052","Q2052"
"Forward","1986-12-02",13,5,"Ludogorets Razgrad","https://en.wikipedia.org/wiki/Claudiu_Ke%C8%99er%C3%BC","Claudiu Keșerü","PFC Ludogorets Razgrad","https://en.wikipedia.org/wiki/PFC_Ludogorets_Razgrad","Romania","https://www.wikidata.org/wiki/Q1098247",4,"https://www.wikidata.org/wiki/Q1339086","Q1339086"
"Forward","1993-04-11",6,1,"Córdoba","https://en.wikipedia.org/wiki/Florin_Andone","Florin Andone","Córdoba CF","https://en.wikipedia.org/wiki/C%C3%B3rdoba_CF","Romania","https://www.wikidata.org/wiki/Q18223242",4,"https://www.wikidata.org/wiki/Q10499","Q10499"
"Defender","1989-02-25",13,1,"Astra Giurgiu","https://en.wikipedia.org/wiki/Valeric%C4%83_G%C4%83man","Valerică Găman","FC Astra Giurgiu","https://en.wikipedia.org/wiki/FC_Astra_Giurgiu","Romania","https://www.wikidata.org/wiki/Q1356558",2,"https://www.wikidata.org/wiki/Q750322","Q750322"
"Defender","1994-05-15",4,0,"Dinamo București","https://en.wikipedia.org/wiki/Steliano_Filip","Steliano Filip","FC Dinamo București","https://en.wikipedia.org/wiki/FC_Dinamo_Bucure%C8%99ti","Romania","https://www.wikidata.org/wiki/Q793858",2,"https://www.wikidata.org/wiki/Q204237","Q204237"
"Midfield","1980-03-13",20,0,"Al-Ittihad","https://en.wikipedia.org/wiki/Lucian_S%C3%A2nm%C4%83rtean","Lucian Sânmărtean","Ittihad FC","https://en.wikipedia.org/wiki/Ittihad_FC","Romania","https://www.wikidata.org/wiki/Q1873272",3,"https://www.wikidata.org/wiki/Q309480","Q309480"
"Midfield","1985-12-08",10,0,"Ludogorets Razgrad","https://en.wikipedia.org/wiki/Andrei_Prepeli%C8%9B%C4%83","Andrei Prepeliță","PFC Ludogorets Razgrad","https://en.wikipedia.org/wiki/PFC_Ludogorets_Razgrad","Romania","https://www.wikidata.org/wiki/Q451818",3,"https://www.wikidata.org/wiki/Q1339086","Q1339086"
"Forward","1987-06-28",40,9,"Gençlerbirliği","https://en.wikipedia.org/wiki/Bogdan_Stancu","Bogdan Stancu","Gençlerbirliği S.K.","https://en.wikipedia.org/wiki/Gen%C3%A7lerbirli%C4%9Fi_S.K.","Romania","https://www.wikidata.org/wiki/Q681913",4,"https://www.wikidata.org/wiki/Q641373","Q641373"
"Midfield","1988-07-24",14,1,"Steaua București","https://en.wikipedia.org/wiki/Adrian_Popa_(footballer,_born_1988)","Adrian Popa","FC Steaua București","https://en.wikipedia.org/wiki/FC_Steaua_Bucure%C8%99ti","Romania","https://www.wikidata.org/wiki/Q3079005",3,"https://www.wikidata.org/wiki/Q179658","Q179658"
"Defender","1986-09-07",20,0,"Al-Sailiya","https://en.wikipedia.org/wiki/Drago%C8%99_Grigore","Dragoș Grigore","Al-Sailiya SC","https://en.wikipedia.org/wiki/Al-Sailiya_SC","Romania","https://www.wikidata.org/wiki/Q961203",2,"https://www.wikidata.org/wiki/Q812719","Q812719"
"Defender","1984-04-05",13,0,"Pandurii Târgu Jiu","https://en.wikipedia.org/wiki/Cristian_S%C4%83punaru","Cristian Săpunaru","CS Pandurii Târgu Jiu","https://en.wikipedia.org/wiki/CS_Pandurii_T%C3%A2rgu_Jiu","Romania","https://www.wikidata.org/wiki/Q377899",2,"https://www.wikidata.org/wiki/Q585958","Q585958"
"Goalkeeper","1989-06-04",3,0,"Astra Giurgiu","https://en.wikipedia.org/wiki/Silviu_Lung_Jr.","Silviu Lung Jr.","FC Astra Giurgiu","https://en.wikipedia.org/wiki/FC_Astra_Giurgiu","Romania","https://www.wikidata.org/wiki/Q980747",1,"https://www.wikidata.org/wiki/Q750322","Q750322"
"Goalkeeper","1989-03-10",35,0,"Lazio","https://en.wikipedia.org/wiki/Etrit_Berisha","Etrit Berisha","S.S. Lazio","https://en.wikipedia.org/wiki/S.S._Lazio","Albania","https://www.wikidata.org/wiki/Q1523030",1,"https://www.wikidata.org/wiki/Q2609","Q2609"
"Defender","1986-02-12",58,0,"PAS Giannina","https://en.wikipedia.org/wiki/Andi_Lila","Andi Lila","PAS Giannina F.C.","https://en.wikipedia.org/wiki/PAS_Giannina_F.C.","Albania","https://www.wikidata.org/wiki/Q2725063",2,"https://www.wikidata.org/wiki/Q280679","Q280679"
"Midfield","1989-08-05",19,3,"Nantes","https://en.wikipedia.org/wiki/Ermir_Lenjani","Ermir Lenjani","FC Nantes","https://en.wikipedia.org/wiki/FC_Nantes","Albania","https://www.wikidata.org/wiki/Q6068571",3,"https://www.wikidata.org/wiki/Q192071","Q192071"
"Defender","1994-02-20",20,0,"Napoli","https://en.wikipedia.org/wiki/Elseid_Hysaj","Elseid Hysaj","S.S.C. Napoli","https://en.wikipedia.org/wiki/S.S.C._Napoli","Albania","https://www.wikidata.org/wiki/Q5367516",2,"https://www.wikidata.org/wiki/Q2641","Q2641"
"Defender","1983-06-27",91,1,"Nantes","https://en.wikipedia.org/wiki/Lorik_Cana","Lorik Cana","FC Nantes","https://en.wikipedia.org/wiki/FC_Nantes","Albania","https://www.wikidata.org/wiki/Q311155",2,"https://www.wikidata.org/wiki/Q192071","Q192071"
"Defender","1992-11-20",3,0,"Lugano","https://en.wikipedia.org/wiki/Freddie_Veseli","Freddie Veseli","FC Lugano","https://en.wikipedia.org/wiki/FC_Lugano","Albania","https://www.wikidata.org/wiki/Q3090268",2,"https://www.wikidata.org/wiki/Q633521","Q633521"
"Defender","1982-11-11",61,2,"Qarabağ","https://en.wikipedia.org/wiki/Ansi_Agolli","Ansi Agolli","Qarabağ FK","https://en.wikipedia.org/wiki/Qaraba%C4%9F_FK","Albania","https://www.wikidata.org/wiki/Q2329951",2,"https://www.wikidata.org/wiki/Q723476","Q723476"
"Midfield","1987-01-05",19,3,"Como","https://en.wikipedia.org/wiki/Migjen_Basha","Migjen Basha","Calcio Como","https://en.wikipedia.org/wiki/Calcio_Como","Albania","https://www.wikidata.org/wiki/Q1467831",3,"https://www.wikidata.org/wiki/Q1120838","Q1120838"
"Midfield","1986-12-07",14,0,"Pescara","https://en.wikipedia.org/wiki/Ledian_Memushaj","Ledian Memushaj","Delfino Pescara 1936","https://en.wikipedia.org/wiki/Delfino_Pescara_1936","Albania","https://www.wikidata.org/wiki/Q3829352",3,"https://www.wikidata.org/wiki/Q2710","Q2710"
"Forward","1991-05-27",20,5,"Vaduz","https://en.wikipedia.org/wiki/Armando_Sadiku","Armando Sadiku","FC Vaduz","https://en.wikipedia.org/wiki/FC_Vaduz","Albania","https://www.wikidata.org/wiki/Q2015958",4,"https://www.wikidata.org/wiki/Q216773","Q216773"
"Forward","1988-07-15",14,1,"Colorado Rapids","https://en.wikipedia.org/wiki/Shk%C3%ABlzen_Gashi","Shkëlzen Gashi","Colorado Rapids","https://en.wikipedia.org/wiki/Colorado_Rapids","Albania","https://www.wikidata.org/wiki/Q203816",4,"https://www.wikidata.org/wiki/Q642408","Q642408"
"Goalkeeper","1977-09-25",7,0,"Skënderbeu Korçë","https://en.wikipedia.org/wiki/Orges_Shehi","Orges Shehi","KF Skënderbeu Korçë","https://en.wikipedia.org/wiki/KF_Sk%C3%ABnderbeu_Kor%C3%A7%C3%AB","Albania","https://www.wikidata.org/wiki/Q2990823",1,"https://www.wikidata.org/wiki/Q73996","Q73996"
"Midfield","1984-01-16",15,0,"Zürich","https://en.wikipedia.org/wiki/Burim_Kukeli","Burim Kukeli","FC Zürich","https://en.wikipedia.org/wiki/FC_Z%C3%BCrich","Albania","https://www.wikidata.org/wiki/Q1016305",3,"https://www.wikidata.org/wiki/Q206692","Q206692"
"Midfield","1991-03-28",12,0,"Basel","https://en.wikipedia.org/wiki/Taulant_Xhaka","Taulant Xhaka","FC Basel","https://en.wikipedia.org/wiki/FC_Basel","Albania","https://www.wikidata.org/wiki/Q666169",3,"https://www.wikidata.org/wiki/Q189671","Q189671"
"Defender","1986-06-09",26,3,"1. FC Köln","https://en.wikipedia.org/wiki/M%C3%ABrgim_Mavraj","Mërgim Mavraj","1. FC Köln","https://en.wikipedia.org/wiki/1._FC_K%C3%B6ln","Albania","https://www.wikidata.org/wiki/Q667535",2,"https://www.wikidata.org/wiki/Q104770","Q104770"
"Forward","1990-07-27",19,2,"İstanbul Başakşehir","https://en.wikipedia.org/wiki/Sokol_Cikalleshi","Sokol Cikalleshi","İstanbul Başakşehir F.K.","https://en.wikipedia.org/wiki/%C4%B0stanbul_Ba%C5%9Fak%C5%9Fehir_F.K.","Albania","https://www.wikidata.org/wiki/Q7555159",4,"https://www.wikidata.org/wiki/Q857938","Q857938"
"Defender","1993-12-27",5,0,"Basel","https://en.wikipedia.org/wiki/Naser_Aliji","Naser Aliji","FC Basel","https://en.wikipedia.org/wiki/FC_Basel","Albania","https://www.wikidata.org/wiki/Q16150184",2,"https://www.wikidata.org/wiki/Q189671","Q189671"
"Defender","1993-09-25",10,1,"Frosinone","https://en.wikipedia.org/wiki/Arlind_Ajeti","Arlind Ajeti","Frosinone Calcio","https://en.wikipedia.org/wiki/Frosinone_Calcio","Albania","https://www.wikidata.org/wiki/Q675426",2,"https://www.wikidata.org/wiki/Q845043","Q845043"
"Forward","1991-01-11",15,1,"Rijeka","https://en.wikipedia.org/wiki/Bekim_Balaj","Bekim Balaj","HNK Rijeka","https://en.wikipedia.org/wiki/HNK_Rijeka","Albania","https://www.wikidata.org/wiki/Q113841",4,"https://www.wikidata.org/wiki/Q318969","Q318969"
"Midfield","1993-07-08",16,2,"PAOK","https://en.wikipedia.org/wiki/Ergys_Ka%C3%A7e","Ergys Kaçe","PAOK FC","https://en.wikipedia.org/wiki/PAOK_FC","Albania","https://www.wikidata.org/wiki/Q317549",3,"https://www.wikidata.org/wiki/Q204888","Q204888"
"Midfield","1991-05-21",32,1,"Rijeka","https://en.wikipedia.org/wiki/Odise_Roshi","Odise Roshi","HNK Rijeka","https://en.wikipedia.org/wiki/HNK_Rijeka","Albania","https://www.wikidata.org/wiki/Q978923",3,"https://www.wikidata.org/wiki/Q318969","Q318969"
"Midfield","1990-03-27",18,0,"SC Freiburg","https://en.wikipedia.org/wiki/Amir_Abrashi","Amir Abrashi","SC Freiburg","https://en.wikipedia.org/wiki/SC_Freiburg","Albania","https://www.wikidata.org/wiki/Q471956",3,"https://www.wikidata.org/wiki/Q106394","Q106394"
"Goalkeeper","1987-11-23",1,0,"Partizani Tirana","https://en.wikipedia.org/wiki/Alban_Hoxha","Alban Hoxha","FK Partizani Tirana","https://en.wikipedia.org/wiki/FK_Partizani_Tirana","Albania","https://www.wikidata.org/wiki/Q3607857",1,"https://www.wikidata.org/wiki/Q845772","Q845772"
"Goalkeeper","1988-12-07",18,0,"Borussia Mönchengladbach","https://en.wikipedia.org/wiki/Yann_Sommer","Yann Sommer","Borussia Mönchengladbach","https://en.wikipedia.org/wiki/Borussia_M%C3%B6nchengladbach","Switzerland","https://www.wikidata.org/wiki/Q667596",1,"https://www.wikidata.org/wiki/Q101959","Q101959"
"Defender","1984-01-16",81,5,"Juventus","https://en.wikipedia.org/wiki/Stephan_Lichtsteiner","Stephan Lichtsteiner","Juventus F.C.","https://en.wikipedia.org/wiki/Juventus_F.C.","Switzerland","https://www.wikidata.org/wiki/Q208586",2,"https://www.wikidata.org/wiki/Q1422","Q1422"
"Defender","1990-06-21",11,0,"Toulouse","https://en.wikipedia.org/wiki/Fran%C3%A7ois_Moubandje","François Moubandje","Toulouse F.C.","https://en.wikipedia.org/wiki/Toulouse_F.C.","Switzerland","https://www.wikidata.org/wiki/Q3085424",2,"https://www.wikidata.org/wiki/Q19518","Q19518"
"Defender","1996-09-30",1,0,"Borussia Mönchengladbach","https://en.wikipedia.org/wiki/Nico_Elvedi","Nico Elvedi","Borussia Mönchengladbach","https://en.wikipedia.org/wiki/Borussia_M%C3%B6nchengladbach","Switzerland","https://www.wikidata.org/wiki/Q18637339",2,"https://www.wikidata.org/wiki/Q101959","Q101959"
"Defender","1983-06-10",50,0,"Young Boys","https://en.wikipedia.org/wiki/Steve_von_Bergen","Steve von Bergen","BSC Young Boys","https://en.wikipedia.org/wiki/BSC_Young_Boys","Switzerland","https://www.wikidata.org/wiki/Q316591",2,"https://www.wikidata.org/wiki/Q190526","Q190526"
"Defender","1991-02-08",17,2,"Basel","https://en.wikipedia.org/wiki/Michael_Lang_(footballer)","Michael Lang","FC Basel","https://en.wikipedia.org/wiki/FC_Basel","Switzerland","https://www.wikidata.org/wiki/Q679530",2,"https://www.wikidata.org/wiki/Q189671","Q189671"
"Forward","1997-02-14",10,1,"Basel","https://en.wikipedia.org/wiki/Breel_Embolo","Breel Embolo","FC Basel","https://en.wikipedia.org/wiki/FC_Basel","Switzerland","https://www.wikidata.org/wiki/Q15956282",4,"https://www.wikidata.org/wiki/Q189671","Q189671"
