"team.value","capacity.value","coords.value","image.value","teamLabel.value","venueLabel.value","team_twitter.value"
"http://www.wikidata.org/entity/Q32494","61973","Point(7.067588888 51.554502777)","http://commons.wikimedia.org/wiki/Special:FilePath/Schalke04Stadion1.jpg","FC Schalke 04","Veltins Arena",NA
"http://www.wikidata.org/entity/Q4512","60441","Point(9.231944 48.792222)","http://commons.wikimedia.org/wiki/Special:FilePath/Blick%20vom%20Rotenberg%20Stadion.jpg","VfB Stuttgart","Mercedes-Benz Arena",NA
"http://www.wikidata.org/entity/Q4512","60441","Point(9.231944 48.792222)","http://commons.wikimedia.org/wiki/Special:FilePath/Neckarstadion%202011.jpg","VfB Stuttgart","Mercedes-Benz Arena",NA
"http://www.wikidata.org/entity/Q15786","50000","Point(11.125278 49.426389)","http://commons.wikimedia.org/wiki/Special:FilePath/Frankenstadion%201.JPG","1. FC Nürnberg","Stadion Nürnberg",NA
"http://www.wikidata.org/entity/Q33748","49000","Point(9.731111 52.36)","http://commons.wikimedia.org/wiki/Special:FilePath/AWD%20Eingang08.jpg","Hannover 96","AWD-Arena",NA
"http://www.wikidata.org/entity/Q8466","49780","Point(7.775833 49.434444)","http://commons.wikimedia.org/wiki/Special:FilePath/Kaiserslautern%2003.jpg","1. FC Kaiserslautern","Fritz-Walter-Stadion","rote_teufel"
"http://www.wikidata.org/entity/Q51976","42500","Point(8.8375 53.066389)","http://commons.wikimedia.org/wiki/Special:FilePath/Weserstadion%202011-05-01.jpg","SV Werder Bremen","Weserstadion",NA
"http://www.wikidata.org/entity/Q101859","30000","Point(10.803889 52.431944)","http://commons.wikimedia.org/wiki/Special:FilePath/Wolfsburg%20stadion.jpg","VfL Wolfsburg","Volkswagen Arena",NA
"http://www.wikidata.org/entity/Q38245","51500","Point(8.645278 50.068611)","http://commons.wikimedia.org/wiki/Special:FilePath/130919-Commerzbank-Arena-Europa-League.jpg","Eintracht Frankfurt","Commerzbank-Arena",NA
"http://www.wikidata.org/entity/Q7156","98772","Point(2.1225 41.380833)","http://commons.wikimedia.org/wiki/Special:FilePath/Camp%20Nou%20aerial%20%28cropped%29.jpg","FC Barcelona","Camp Nou","fcbarcelona_es"
"http://www.wikidata.org/entity/Q7156","99354","Point(2.1225 41.380833)","http://commons.wikimedia.org/wiki/Special:FilePath/Camp%20Nou%20aerial%20%28cropped%29.jpg","FC Barcelona","Camp Nou","fcbarcelona_es"
"http://www.wikidata.org/entity/Q2609","72698","Point(12.454714 41.933872)","http://commons.wikimedia.org/wiki/Special:FilePath/2012-02-11%20Rome%20Olympic%20Stadium%20under%20the%20snow%20ITA%20-%20ENG%20rugby.jpg","S.S. Lazio","Stadio Olimpico","officialsslazio"
"http://www.wikidata.org/entity/Q2739","72698","Point(12.454714 41.933872)","http://commons.wikimedia.org/wiki/Special:FilePath/2012-02-11%20Rome%20Olympic%20Stadium%20under%20the%20snow%20ITA%20-%20ENG%20rugby.jpg","A.S. Roma","Stadio Olimpico","officialasroma"
"http://www.wikidata.org/entity/Q9617","60338","Point(-0.108611111 51.555)","http://commons.wikimedia.org/wiki/Special:FilePath/Emirates%20Stadium%20east%20side%20at%20dusk.jpg","Arsenal F.C.","Emirates Stadium","Arsenal"
"http://www.wikidata.org/entity/Q8682","85454","Point(-3.68835 40.45306)","http://commons.wikimedia.org/wiki/Special:FilePath/Estadio%20Santiago%20Bernab%C3%A9u%2011.jpg","Real Madrid Club de Fútbol","Estadio Santiago Bernabéu","realmadrid"
"http://www.wikidata.org/entity/Q15755","30660","Point(10.882344 48.322703)","http://commons.wikimedia.org/wiki/Special:FilePath/Impuls%20Arena%20Augsburg%202011.jpg","FC Augsburg","WWK Arena",NA
"http://www.wikidata.org/entity/Q9616","41800","Point(-0.191111111 51.481666666)","http://commons.wikimedia.org/wiki/Special:FilePath/Stamford%20Bridge%20Clear%20Skies.JPG","Chelsea F.C.","Stamford Bridge stadium","chelseafc"
"http://www.wikidata.org/entity/Q18711","42682","Point(-1.884722222 52.509166666)","http://commons.wikimedia.org/wiki/Special:FilePath/Villa%20Park.jpg","Aston Villa F.C.","Villa Park","avfcofficial"
"http://www.wikidata.org/entity/Q8687","83332","Point(-2.949369 43.264205)","http://commons.wikimedia.org/wiki/Special:FilePath/San%20Mames%2C%20Euskal%20Herria.jpg","Athletic Club","San Mamés Stadium",NA
"http://www.wikidata.org/entity/Q18741","36284","Point(-0.065833333 51.603333333)","http://commons.wikimedia.org/wiki/Special:FilePath/White%20Hart%20Lane%20from%20South%20End.JPG","Tottenham Hotspur F.C.","White Hart Lane","SpursOfficial"
"http://www.wikidata.org/entity/Q52942","43269","Point(16.858056 52.397222)","http://commons.wikimedia.org/wiki/Special:FilePath/Stadion%20Miejski%20Poznan%2C%202011-08-23.jpg","Lech Poznań","Stadion Miejski",NA
"http://www.wikidata.org/entity/Q18716","52405","Point(-1.621666666 54.975555555)","http://commons.wikimedia.org/wiki/Special:FilePath/Aerial%20view%20of%20St%20James%20Park%20-%20geograph.org.uk%20-%20472327%20%28cropped%29.jpg","Newcastle United F.C.","St James' Park","nufc"
"http://www.wikidata.org/entity/Q19470","33597","Point(-1.447222222 52.915)","http://commons.wikimedia.org/wiki/Special:FilePath/Pride%20Park.jpg","Derby County F.C.","Pride Park Stadium",NA
"http://www.wikidata.org/entity/Q10333","53000","Point(-0.358333 39.474722)","http://commons.wikimedia.org/wiki/Special:FilePath/Mestalla1.jpg","Valencia CF","Mestalla Stadium","valenciacf"
"http://www.wikidata.org/entity/Q81888","52960","Point(4.941944444 52.314166666)","http://commons.wikimedia.org/wiki/Special:FilePath/Amsterdam%20Arena.jpg","A.F.C. Ajax","Amsterdam Arena","afcajax"
"http://www.wikidata.org/entity/Q8701","54960","Point(-3.720556 40.401667)","http://commons.wikimedia.org/wiki/Special:FilePath/VicenteCalderon.jpg","Atlético Madrid","Vicente Calderón Stadium","Atleti"
